Code,Name,Cur,Price,+/-,%+/-,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Symbol
OPM,1PM,GBX,23.25,-2.5,-9.71,,,,,OPM
SPA,1SPATIAL,GBX,21.0,-1.5,-6.67,,,,,SPA
III,3I GRP.,GBX,713.4,-117.0,-14.09,,,,,III
DDDD,4D PHARMA PLC,GBX,44.9,0.0,0.0,,,,,DDDD
FOUR,4IMPRINT GRP.,GBX,2590.0,-210.0,-7.5,,,,,FOUR
SIXH,600 GRP.,GBX,9.0,-1.12,-11.11,,,,,SIXH
7DIG,7DIGITAL,GBX,0.25,-0.07,-23.08,,,,,7DIG
88E,88 ENERGY,GBX,0.82,-0.15,-15.38,,,,,88E
888,888 HLDGS,GBX,92.5,-2.85,-2.99,,,,,888
ASBE,A.B.ENGINEERING,GBX,15.0,0.0,0.0,,,,,ASBE
ABF,A.B.FOOD,GBX,1852.5,-152.5,-7.61,,,,,ABF
AA.,AA PLC,GBX,30.8,-2.88,-8.55,,,,,AA.
ABDP,AB DYNAMICS,GBX,1462.5,-127.5,-8.02,,,,,ABDP
ANII,AB NEW INDIA,GBX,371.0,-32.0,-7.94,,,,,ANII
ABC,ABCAM,GBX,1056.0,-84.0,-7.37,,,,,ABC
AAIF,ABDN.ASN INC,GBX,172.0,-12.0,-6.52,,,,,AAIF
ANW,ABDN.NEW THAI,GBX,375.0,0.0,0.0,,,,,ANW
ABD,ABDN.NW.DWN,GBX,217.0,-11.0,-4.82,,,,,ABD
ADIG,ABERDEEN DI&G,GBX,97.4,-5.1,-4.98,,,,,ADIG
AJIT,ABERDEEN JAPAN,GBX,499.0,-33.5,-6.29,,,,,AJIT
ASCI,ABERDEEN SML.CO,GBX,271.0,-16.5,-5.74,,,,,ASCI
ASIT,ABERFORTH SPLI.,GBX,62.75,0.0,0.0,,,,,ASIT
ASIZ,ABERFORTH SPLIZ,GBX,108.5,0.0,0.0,,,,,ASIZ
ASL,ABERFTH.SMLL.CO,GBX,1000.0,-108.0,-9.75,,,,,ASL
AASC,ABSTD ASIA CULS,GBX,97.5,-0.5,-0.51,,,,,AASC
