Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|G|N|N|100|N|N
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AAME|Atlantic American Corporation - Common Stock|G|N|N|100|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|N|N|100|N|N
AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|G|N|N|100|Y|N
AAXN|Axon Enterprise, Inc. - Common Stock|Q|N|N|100|N|N
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100|N|N
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100|N|N
ABMD|ABIOMED, Inc. - Common Stock|Q|N|N|100|N|N
ABTX|Allegiance Bancshares, Inc. - Common Stock|G|N|N|100|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACAM|Acamar Partners Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
ACAMU|Acamar Partners Acquisition Corp. - Units|S|N|N|100|N|N
ACAMW|Acamar Partners Acquisition Corp. - Warrant|S|N|N|100|N|N
ACBI|Atlantic Capital Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
ACER|Acer Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100|N|N
ACGLP|Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs|Q|N|N|100|N|N
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|N|N|100|N|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|S|N|D|100|N|N
ACIA|Acacia Communications, Inc. - Common Stock|Q|N|N|100|N|N
ACIU|AC Immune SA - Common Stock|G|N|N|100|N|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|N|100|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|N|100|N|N
ACNB|ACNB Corporation - Common Stock|S|N|N|100|N|N
ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
